pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,state_name,district_n,subdistric,village_na,place_name,tot_p,p_sc,p_st
20,369,2746,378528,jharkhand,saraikela kharsawan,kuchai,barasegoi,barasegoi,749,0,668
20,369,2746,378529,jharkhand,saraikela kharsawan,kuchai,chotasegoi,chotasegoi,1142,0,1014
20,369,2746,378530,jharkhand,saraikela kharsawan,kuchai,karalor,karalor,145,0,144
20,369,2746,378531,jharkhand,saraikela kharsawan,kuchai,chotabandi,chotabandi,663,1,558
20,369,2746,378532,jharkhand,saraikela kharsawan,kuchai,bara bandi,bara bandi,569,1,499
20,369,2746,378533,jharkhand,saraikela kharsawan,kuchai,gumpu,gumpu,42,0,42
20,369,2746,378534,jharkhand,saraikela kharsawan,kuchai,champad,champad,479,0,479
20,369,2746,378535,jharkhand,saraikela kharsawan,kuchai,ichahatu,ichahatu,281,0,267
20,369,2746,378536,jharkhand,saraikela kharsawan,kuchai,jamdah,jamdah,199,26,155
20,369,2746,378537,jharkhand,saraikela kharsawan,kuchai,todangdih,todangdih,364,44,103
20,369,2746,378538,jharkhand,saraikela kharsawan,kuchai,kuchai,kuchai,1315,30,1068
20,369,2746,378539,jharkhand,saraikela kharsawan,kuchai,bhurkunda,bhurkunda,1244,13,1117
20,369,2746,378540,jharkhand,saraikela kharsawan,kuchai,rengsa,rengsa,282,0,282
20,369,2746,378541,jharkhand,saraikela kharsawan,kuchai,dango,dango,669,0,604
20,369,2746,378542,jharkhand,saraikela kharsawan,kuchai,regadih,regadih,364,0,363
20,369,2746,378543,jharkhand,saraikela kharsawan,kuchai,maranghatu,maranghatu,1688,40,972
20,369,2746,378544,jharkhand,saraikela kharsawan,kuchai,ruchab,ruchab,1100,13,803
20,369,2746,378545,jharkhand,saraikela kharsawan,kuchai,puniburi,puniburi,630,0,630
20,369,2746,378546,jharkhand,saraikela kharsawan,kuchai,damodiri,damodiri,396,0,383
20,369,2746,378547,jharkhand,saraikela kharsawan,kuchai,jora sarjam,jora sarjam,319,16,194
20,369,2746,378548,jharkhand,saraikela kharsawan,kuchai,kar kata,kar kata,216,0,215
20,369,2746,378549,jharkhand,saraikela kharsawan,kuchai,beyang,beyang,372,0,339
20,369,2746,378550,jharkhand,saraikela kharsawan,kuchai,lapta,lapta,396,0,380
20,369,2746,378551,jharkhand,saraikela kharsawan,kuchai,kundiamarcha,kundiamarcha,524,0,518
20,369,2746,378552,jharkhand,saraikela kharsawan,kuchai,lapsa,lapsa,321,7,305
20,369,2746,378553,jharkhand,saraikela kharsawan,kuchai,ramaisal,ramaisal,524,0,267
20,369,2746,378554,jharkhand,saraikela kharsawan,kuchai,jowajanjir,jowajanjir,562,0,419
20,369,2746,378555,jharkhand,saraikela kharsawan,kuchai,gogamacha,gogamacha,232,0,218
20,369,2746,378556,jharkhand,saraikela kharsawan,kuchai,surabera,surabera,636,0,441
20,369,2746,378557,jharkhand,saraikela kharsawan,kuchai,jugidih,jugidih,578,0,271
